Parameter,Description
INSOL_MIN_CONSEC_MONTH,Minimum Available Insolation Over A Consecutive Month Period
KT_CLEAR,Clear Sky Insolation Clearness Index
MIDDAY_INSOL,Midday Insolation Incident On A Horizontal Surface
NO_SUN_BLACKDAYS_MAX,Maximum NO-SUN Or BLACK Days
PHIS,Surface Geopotential
PRECTOT,Precipitation
PS,Surface Pressure
PSC,Corrected Atmospheric Pressure (Adjusted For Site Elevation)
QV2M,Specific Humidity at 2 Meters
RH2M,Relative Humidity at 2 Meters
SG_DAY_COZ_ZEN_AVG,Daylight Average Of Hourly Cosine Solar Zenith Angles
SG_DAY_HOUR_AVG,Daylight Hours
SG_DEC_AVG,Declination
SG_HR_AZM_ANG_AVG,Hourly Solar Azimuth Angles
SG_HR_HRZ_ANG_AVG,Hourly Solar Angles Relative To The Horizon
SG_HR_SET_ANG,Sunset Hour Angle
SG_MAX_HRZ_ANG,Maximum Solar Angle Relative To The Horizon
SG_MID_COZ_ZEN_ANG,Cosine Solar Zenith Angle At Mid-Time Between Sunrise And Solar Noon
SG_NOON,Solar Noon
SI_EF_TILTED_SURFACE_HORIZONTAL,Solar Irradiance for Equator Facing Horizontal Surface
SI_EF_TILTED_SURFACE_LAT_MINUS15,Solar Irradiance for Lat Minus 15
